# ID, Campaign, Class, Class Probs (DSCUT, EA, EB, GDOR, Noise, OTHPER, RRab), Anomaly Score
202059070,0, Noise,0.004195,0.120507,0.016615,0.005925,0.604636,0.246088,0.002034,0.023891
202059073,0, Noise,0.000000,0.000760,0.000037,0.000180,0.851359,0.147664,0.000000,0.003344
202059074,0, Noise,0.000086,0.003688,0.000218,0.007253,0.547118,0.441569,0.000067,0.083032
202059078,0, Noise,0.000523,0.002839,0.000332,0.000105,0.888648,0.107552,0.000000,0.000000
202059080,0, Noise,0.038219,0.082267,0.022758,0.058409,0.614507,0.078915,0.104926,0.136364
202059081,0, Noise,0.000000,0.001442,0.000031,0.000000,0.853017,0.145510,0.000000,0.000000
202059082,0,    EA,0.005860,0.345815,0.242731,0.016190,0.213165,0.168644,0.007594,0.079137
202059086,0, Noise,0.008732,0.159360,0.080253,0.014643,0.458830,0.277510,0.000672,0.052632
202059183,0, Noise,0.000415,0.005445,0.000048,0.002420,0.794153,0.197519,0.000000,0.010101
202059188,0,OTHPER,0.011001,0.146386,0.092794,0.040453,0.032369,0.667441,0.009557,0.098901
202059190,0,OTHPER,0.000031,0.001713,0.001480,0.001360,0.494864,0.500552,0.000000,0.013514
202059192,0, Noise,0.000109,0.000900,0.000295,0.001125,0.882320,0.115250,0.000000,0.000000
202059193,0, Noise,0.000104,0.005459,0.000093,0.000802,0.711067,0.282474,0.000000,0.000000
202059195,0, Noise,0.003979,0.021918,0.001763,0.012122,0.671377,0.288842,0.000000,0.006711
202059197,0, Noise,0.003378,0.002784,0.000420,0.027588,0.531570,0.434193,0.000067,0.067616
202059198,0,OTHPER,0.007206,0.043478,0.011323,0.061851,0.386936,0.488309,0.000897,0.063830
202059199,0, Noise,0.000032,0.044149,0.000018,0.000852,0.609113,0.345836,0.000000,0.010101
202059203,0, Noise,0.001361,0.003698,0.000020,0.007148,0.573291,0.414482,0.000000,0.003344
202059204,0,OTHPER,0.000922,0.039523,0.016046,0.015526,0.009846,0.917473,0.000663,0.086957
202059207,0,OTHPER,0.000118,0.000300,0.000040,0.002570,0.471007,0.525965,0.000000,0.013514
202059208,0, Noise,0.000891,0.005576,0.000000,0.003184,0.634595,0.355755,0.000000,0.000000
202059210,0,OTHPER,0.002336,0.063753,0.003013,0.012158,0.381062,0.537678,0.000000,0.000000
202059215,0, Noise,0.000521,0.003533,0.000968,0.009351,0.562673,0.422953,0.000000,0.060071
202059221,0,OTHPER,0.001289,0.008642,0.001665,0.015366,0.380835,0.592203,0.000000,0.020408
202059222,0, Noise,0.000000,0.001235,0.000000,0.000292,0.783879,0.214528,0.000067,0.000000
202059223,0, Noise,0.000432,0.002691,0.000113,0.002974,0.868870,0.124921,0.000000,0.000000
202059224,0, Noise,0.000285,0.014380,0.000048,0.005641,0.531959,0.447686,0.000000,0.013514
202059229,0,OTHPER,0.000953,0.025479,0.009642,0.020834,0.004593,0.938438,0.000061,0.027397
202059231,0,OTHPER,0.000575,0.080385,0.006538,0.028734,0.027522,0.855754,0.000492,0.013514
202059243,0, Noise,0.000032,0.010023,0.000075,0.001020,0.550285,0.438566,0.000000,0.006711
202059291,0,OTHPER,0.003882,0.002640,0.016926,0.048991,0.009115,0.918446,0.000000,0.013514
202059299,0,OTHPER,0.001113,0.025134,0.009408,0.016070,0.094312,0.853795,0.000167,0.119403
202059310,0, DSCUT,0.908820,0.005004,0.008360,0.027935,0.026845,0.021853,0.001182,0.075269
202059312,0,OTHPER,0.003887,0.041819,0.001937,0.159596,0.372507,0.420254,0.000000,0.006711
202059318,0, Noise,0.043810,0.181825,0.057754,0.281656,0.281854,0.152161,0.000941,0.158301
202059326,0, DSCUT,0.481298,0.045048,0.038187,0.213906,0.120541,0.092686,0.008334,0.071429
202059327,0,OTHPER,0.019188,0.041727,0.004837,0.198376,0.353294,0.379104,0.003474,0.034483
202059330,0,OTHPER,0.076280,0.046690,0.086909,0.115999,0.110553,0.562893,0.000675,0.060071
202059332,0,OTHPER,0.004670,0.024750,0.005856,0.105158,0.200913,0.658461,0.000193,0.079137
202059333,0, Noise,0.026216,0.060836,0.010967,0.110699,0.437679,0.352998,0.000606,0.006711
202059336,0, Noise,0.005294,0.132642,0.032190,0.089871,0.448073,0.291930,0.000000,0.016949
202059339,0, Noise,0.008372,0.123364,0.012285,0.071176,0.426140,0.358603,0.000061,0.063830
202059343,0, Noise,0.031655,0.087550,0.005267,0.075395,0.484528,0.315605,0.000000,0.045296
202059346,0, DSCUT,0.868209,0.006297,0.009781,0.025155,0.047391,0.042781,0.000387,0.052632
202059347,0,OTHPER,0.001415,0.005531,0.003006,0.084514,0.299572,0.605843,0.000117,0.000000
202059348,0,  GDOR,0.038363,0.088289,0.025610,0.317744,0.239076,0.290918,0.000000,0.000000
202059350,0, DSCUT,0.705549,0.003228,0.006110,0.067833,0.060986,0.155788,0.000507,0.071429
202059351,0, Noise,0.018360,0.298565,0.042423,0.040989,0.308111,0.291238,0.000315,0.003344
202059352,0,OTHPER,0.000759,0.004323,0.000000,0.011811,0.299312,0.683795,0.000000,0.006711
202059355,0,OTHPER,0.216867,0.011651,0.026937,0.127230,0.252546,0.361529,0.003239,0.090909
202059359,0, Noise,0.019444,0.064149,0.017528,0.097395,0.456468,0.344961,0.000054,0.000000
202059360,0,    EB,0.000852,0.131244,0.624327,0.025470,0.011010,0.206477,0.000619,0.102941
202059364,0,OTHPER,0.001859,0.012371,0.007507,0.052646,0.047245,0.878372,0.000000,0.041667
202059367,0, Noise,0.014679,0.048504,0.011997,0.033902,0.489913,0.400956,0.000049,0.016949
202059373,0,  GDOR,0.018383,0.004100,0.016003,0.877097,0.008895,0.074867,0.000656,0.140684
202059377,0,    EB,0.004017,0.414146,0.472366,0.049794,0.022172,0.037304,0.000200,0.094891
202059382,0,OTHPER,0.003266,0.069793,0.012637,0.030996,0.368890,0.514418,0.000000,0.003344
202059388,0, Noise,0.011908,0.060471,0.013774,0.215335,0.439153,0.259359,0.000000,0.000000
202059391,0,OTHPER,0.006757,0.018658,0.001939,0.113368,0.321746,0.537275,0.000257,0.010101
202059392,0,OTHPER,0.001120,0.002833,0.004219,0.034278,0.039167,0.918382,0.000000,0.020408
202059393,0,OTHPER,0.001401,0.019728,0.001211,0.014309,0.339361,0.623990,0.000000,0.003344
202059397,0,OTHPER,0.000153,0.022905,0.000696,0.007746,0.472475,0.496025,0.000000,0.010101
202059403,0,OTHPER,0.001377,0.005037,0.000173,0.063023,0.420686,0.509704,0.000000,0.000000
202059406,0,OTHPER,0.042349,0.018001,0.015524,0.139108,0.346130,0.436217,0.002673,0.063830
202059409,0,OTHPER,0.015940,0.012772,0.077246,0.080626,0.009934,0.802003,0.001479,0.102941
202059410,0, Noise,0.002905,0.001616,0.000106,0.018528,0.543209,0.433636,0.000000,0.003344
202059414,0,OTHPER,0.002736,0.005579,0.029622,0.082657,0.003163,0.875256,0.000987,0.048951
